Round, Max Amount, Rolls Played
968, 2737, 26594,
969, 3183, 44737,
970, 506, 387,
971, 885, 3164,
972, 982, 3020,
973, 910, 2679,
974, 589, 1858,
975, 957, 4895,
976, 3915, 101754,
977, 535, 1537,
978, 2039, 10685,
979, 623, 2506,
980, 537, 787,
981, 1031, 12010,
982, 562, 3368,
983, 600, 3250,
984, 835, 1857,
985, 3519, 99213,
986, 1045, 5518,
987, 2407, 57513,
988, 612, 1283,
989, 662, 1347,
990, 754, 2477,
991, 500, 559,
992, 656, 1094,
993, 599, 1495,
994, 572, 982,
995, 949, 1196,
996, 516, 788,
997, 1840, 11065,
998, 731, 1893,
999, 522, 963,
1000, 893, 5549,
